Gene Symbol	SPOT	Profile	6d-average	7d-average	8d-average
Zm00001d027233	2	2	0	-0.84	0.8
Zm00001d027240	5	0	0	-0.98	-1.45
Zm00001d027250	8	7	0	0.58	1.45
Zm00001d027254	9	3	0	0.78	-2.27
Zm00001d027258	13	6	0	3.68	3.47
Zm00001d022650	17	0	0	-0.51	-1.04
Zm00001d027271	20	5	0	1.09	0.3
Zm00001d027277	23	4	0	0.15	1.95
Zm00001d027279	25	1	0	-6.24	-6.24
Zm00001d027283	26	6	0	7.67	10.34
Zm00001d027285	27	5	0	5.11	0
Zm00001d027287	29	6	0	5.53	4.14
Zm00001d027290	32	7	0	2.84	4.18
Zm00001d027291	33	6	0	6.46	7.6
Zm00001d027292	34	6	0	7.39	4.54
Zm00001d027298	38	3	0	0.26	-0.74
Zm00001d027304	43	3	0	0.01	-1.36
Zm00001d027308	45	3	0	2.95	-5.73
Zm00001d027310	47	4	0	-1.29	1.72
Zm00001d027313	50	1	0	-4.77	-4.77
Zm00001d027318	54	2	0	-0.64	0.53
Zm00001d027322	58	2	0	-2.01	0.91
Zm00001d027330	64	2	0	-2.69	1.06
Zm00001d027332	65	5	0	2.21	0.17
Zm00001d027335	68	4	0	-1.08	3.3
Zm00001d027341	73	3	0	0.3	-0.73
Zm00001d027350	82	3	0	0.23	-1.4
Zm00001d027353	85	5	0	0.93	-0.48
Zm00001d027355	87	0	0	-0.49	-1.69
Zm00001d027361	89	5	0	1.11	-0.04
Zm00001d027370	97	5	0	1.19	-0.38
Zm00001d027371	98	2	0	-0.64	0.38
Zm00001d027375	101	3	0	0.48	-0.92
Zm00001d027377	103	6	0	5.53	6.03
Zm00001d027378	104	1	0	-0.98	-1.1
Zm00001d027380	105	5	0	1.4	-0.27
Zm00001d022657	106	5	0	2.03	0.26
Zm00001d027391	114	2	0	-3.77	0.77
Zm00001d027400	120	2	0	-4.36	-0.44
Zm00001d027403	122	3	0	0.19	-0.91
Zm00001d027404	123	5	0	1	0.35
Zm00001d027405	124	2	0	-1.32	1.18
Zm00001d027409	125	6	0	4.94	6.2
Zm00001d027415	128	7	0	0.42	1.38
Zm00001d027419	130	7	0	1.5	4.08
Zm00001d027424	134	2	0	-3.77	1.81
Zm00001d022658	136	0	0	-0.36	-1.19
Zm00001d027428	138	5	0	4.94	0
Zm00001d027431	141	7	0	1.45	3.52
Zm00001d022659	142	3	0	-0.35	-1.74
Zm00001d027435	144	6	0	3.75	4.64
Zm00001d027436	145	5	0	1.47	-0.33
Zm00001d027440	147	4	0	0.04	1.03
Zm00001d027441	148	5	0	1.29	0.05
Zm00001d027453	159	6	0	2.87	1.75
Zm00001d027454	160	7	0	1.88	2.85
Zm00001d027457	162	5	0	2.45	-1.2
Zm00001d027463	167	3	0	0.36	-0.66
Zm00001d027464	168	3	0	-0.29	-8.4
Zm00001d027467	170	3	0	-0.46	-2.84
Zm00001d027470	173	3	0	-0.3	-4.24
Zm00001d027471	174	3	0	0.51	-0.56
Zm00001d027477	176	3	0	0.3	-1.14
Zm00001d027486	184	4	0	0.1	1.65
Zm00001d027488	186	4	0	-0.83	1.83
Zm00001d027489	187	3	0	-0.27	-2.66
Zm00001d027492	188	4	0	0	6.26
Zm00001d027494	190	3	0	1.5	-8.31
Zm00001d027495	191	3	0	2.79	-6.27
Zm00001d027496	192	6	0	5.64	3.91
Zm00001d027499	193	6	0	4.13	2.93
Zm00001d027500	194	7	0	1.45	3.72
Zm00001d027511	203	7	0	1	2.75
Zm00001d027522	212	4	0	0	6.38
Zm00001d027524	214	7	0	3.38	4.82
Zm00001d027525	215	6	0	6.69	7.23
Zm00001d027534	220	6	0	6.89	8.57
Zm00001d027535	221	5	0	1.36	-0.55
Zm00001d027537	223	6	0	4.27	4.14
Zm00001d027539	224	5	0	4.93	0
Zm00001d027540	225	5	0	9.14	0
Zm00001d027541	226	5	0	7.75	0
Zm00001d022664	228	7	0	1.5	3.84
Zm00001d027549	231	1	0	-6.33	-6.33
Zm00001d027557	236	5	0	4.91	0.73
Zm00001d027558	237	4	0	-0.14	0.91
Zm00001d027569	238	5	0	4.95	0
Zm00001d027576	243	3	0	-0.16	-1.07
Zm00001d027578	245	0	0	-0.83	-1.81
Zm00001d027580	246	0	0	-0.42	-1
Zm00001d027581	247	7	0	0.51	1.51
Zm00001d027583	249	3	0	-0.08	-1.31
Zm00001d027587	251	5	0	0.97	-0.11
Zm00001d027589	253	3	0	0.14	-1.67
Zm00001d027590	254	1	0	-1.49	-1.18
Zm00001d027593	255	6	0	5.93	7.05
Zm00001d027596	257	6	0	1.9	1.45
Zm00001d027597	258	3	0	0.52	-0.83
Zm00001d027598	259	3	0	0.39	-1.11
Zm00001d027599	260	6	0	2.49	2.79
Zm00001d027619	270	6	0	1.71	0.91
Zm00001d027621	271	3	0	-0.11	-3.26
Zm00001d027622	272	3	0	-0.14	-1.03
Zm00001d027624	273	4	0	0.2	1.6
Zm00001d027627	277	5	0	1.41	-0.56
Zm00001d027642	282	5	0	2.65	-2.47
Zm00001d027643	283	5	0	1.42	-1.4
Zm00001d027647	285	3	0	-1.45	-6.56
Zm00001d027649	287	6	0	4.3	2.49
Zm00001d027652	288	6	0	2.33	1.38
Zm00001d027657	291	7	0	1.11	2.23
Zm00001d022669	294	4	0	0.16	2.17
Zm00001d027673	298	2	0	-0.98	0.33
Zm00001d027676	301	1	0	-1.5	-1.2
Zm00001d027678	303	5	0	5.51	0
Zm00001d027681	305	7	0	3.95	7.14
Zm00001d027682	306	6	0	7.86	6.33
Zm00001d027684	308	7	0	6.98	9.88
Zm00001d027685	309	0	0	-0.98	-1.49
Zm00001d022673	313	7	0	4.27	6.41
Zm00001d027702	315	6	0	3.95	4.14
Zm00001d027708	319	3	0	0.71	-1.18
Zm00001d027710	321	3	0	0.27	-1.72
Zm00001d027713	323	7	0	3.95	5.5
Zm00001d027717	326	3	0	-1.43	-5.36
Zm00001d027718	327	2	0	-5.3	0.79
Zm00001d027719	328	2	0	-0.73	0.46
Zm00001d027720	329	3	0	0.28	-1.44
Zm00001d027729	336	7	0	2.01	3.16
Zm00001d027740	340	5	0	2.06	-0.89
Zm00001d027742	342	7	0	1.76	2.53
Zm00001d027746	346	3	0	-0.26	-1.19
Zm00001d027748	347	0	0	-0.34	-1.16
Zm00001d027749	348	4	0	0.12	1.2
Zm00001d027755	351	5	0	1.02	0.28
Zm00001d027759	355	6	0	3.93	4.54
Zm00001d027766	358	3	0	1.06	-1.29
Zm00001d027788	362	3	0	1.81	-1.86
Zm00001d027802	369	5	0	8.01	0
ENSRNA049472005	374	6	0	2.22	1.3
Zm00001d027810	375	2	0	-5.03	0.52
Zm00001d027813	378	2	0	-0.76	0.42
Zm00001d027816	380	4	0	0.57	2.35
Zm00001d027819	381	3	0	2.31	-3.7
Zm00001d027820	382	3	0	2.57	-4.31
Zm00001d027821	383	3	0	2.05	-4.8
Zm00001d027824	384	5	0	7.77	0
Zm00001d027832	388	5	0	2.27	0.89
Zm00001d027833	389	5	0	6.33	0
Zm00001d027846	400	5	0	1.4	-0.05
Zm00001d027850	403	7	0	0.62	1.45
Zm00001d027852	406	6	0	1.75	1.26
Zm00001d027853	407	2	0	-1.43	0.64
Zm00001d027855	409	6	0	5.75	3.91
Zm00001d027859	411	5	0	5.27	0
Zm00001d027863	414	3	0	1.03	-1.12
Zm00001d027870	417	3	0	-0.6	-6.23
Zm00001d027874	421	7	0	0.95	1.69
Zm00001d027877	424	4	0	0.02	1.91
Zm00001d027878	425	7	0	1.56	3.32
Zm00001d027883	428	3	0	0.22	-1.08
Zm00001d027888	433	6	0	1.34	1.05
Zm00001d027890	434	3	0	0.14	-2.46
Zm00001d027892	435	2	0	-2.33	-1.05
Zm00001d027894	437	4	0	-0.42	1.03
Zm00001d027902	444	1	0	-6.09	-6.09
Zm00001d027904	446	5	0	1.43	-0.44
Zm00001d027907	447	3	0	-0.29	-1.11
Zm00001d027908	448	5	0	8.06	3.91
