Gene Symbol	6d-average	7d-average	8d-average
Zm00001d027240	0.339716486	0.172284112	0.124298409
Zm00001d027254	0.65890651	1.129972252	0.136836986
Zm00001d027258	0.822244105	10.51494456	9.117703556
Zm00001d022650	0.597283553	0.418867558	0.290806213
Zm00001d027271	2.524569115	5.368636355	3.099132057
Zm00001d027298	2.238115014	2.676025208	1.336798844
Zm00001d027304	4.998785282	5.041679997	1.945816053
Zm00001d027310	0.791125645	0.322804506	2.611000417
Zm00001d027318	132.7507578	85.18122641	192.0115731
Zm00001d027330	14.41361293	2.238815276	30.09089433
Zm00001d027341	2.569341519	3.156049687	1.548928884
Zm00001d027350	0.874697758	1.023596804	0.331292179
Zm00001d027353	4.284092547	8.168571113	3.06894034
Zm00001d027355	42.07616144	29.92098031	13.06161112
Zm00001d027361	0.938595715	2.021312637	0.91033647
Zm00001d027370	0.825307364	1.88500431	0.634636969
Zm00001d027371	243.3728189	155.6375389	315.6604357
Zm00001d027375	12.72479461	17.7593686	6.745029567
Zm00001d027380	0.406570081	1.073158657	0.337002926
Zm00001d027403	11.24649465	12.81349034	5.977302422
Zm00001d027404	0.880080905	1.76156916	1.124126198
Zm00001d027415	3.196342624	4.279387705	8.304896781
Zm00001d022658	0.378471306	0.295645426	0.165933328
Zm00001d027436	1.084427848	3.008276983	0.8621461
Zm00001d027440	0.272797529	0.280855086	0.558737566
Zm00001d027441	46.40136045	113.44703	48.13597396
Zm00001d027453	0.113246091	0.830122682	0.380631503
Zm00001d027457	0.524367486	2.873333656	0.228353835
Zm00001d027463	17.40790935	22.36377268	11.00931639
Zm00001d027471	14.66634283	20.87762864	9.921782307
Zm00001d027477	3.69339828	4.544374307	1.679878359
Zm00001d027486	0.161104855	0.173062348	0.50489804
Zm00001d027489	77.9970137	64.87355823	12.36540049
Zm00001d027500	18.75132301	51.40084726	247.7613624
Zm00001d027535	1.045737074	2.691459166	0.714398353
Zm00001d027558	115.6497736	104.8105517	217.0655844
Zm00001d027576	69.95824379	62.4622334	33.32627364
Zm00001d027580	26.58991224	19.84258052	13.25579393
Zm00001d027581	3.152270017	4.498894398	8.959631841
Zm00001d027583	1.950088338	1.847898089	0.788908295
Zm00001d027587	22.21891369	43.46566432	20.60971752
Zm00001d027589	88.474776	97.38921776	27.7991647
Zm00001d027590	1.100423467	0.391208605	0.485804012
Zm00001d027596	1.918223879	7.139430639	5.247075837
Zm00001d027597	4.115174406	5.889492944	2.319889954
Zm00001d027598	0.781233443	1.020749169	0.36241405
Zm00001d027619	4.440362856	14.55459544	8.344852456
Zm00001d027622	2.186426519	1.97849809	1.072552709
Zm00001d027624	11.89399517	13.6530426	36.07657555
Zm00001d027652	4.210767784	21.15936648	10.96399626
Zm00001d027673	0.354224049	0.179748873	0.444743569
Zm00001d027676	2.79136822	0.989259818	1.211049382
Zm00001d027685	0.567696723	0.287467775	0.202400105
Zm00001d027708	36.79358056	60.22680809	16.20630166
Zm00001d027710	1.298008142	1.569803747	0.395102146
Zm00001d027719	46.92325608	28.2067167	64.46104161
Zm00001d027740	0.567696723	2.359972572	0.306789501
Zm00001d027742	0.665712352	2.248480127	3.837186232
Zm00001d027746	27.48091063	22.98663128	12.07417701
Zm00001d027748	8.917191632	7.058814599	4.000281197
Zm00001d027749	0.176313529	0.191339377	0.405374687
Zm00001d027755	0.31538208	0.638857142	0.382323062
Zm00001d027766	0.595839072	1.240738753	0.243460547
Zm00001d027813	64.58506314	38.04187992	86.65243614
Zm00001d027816	0.817692791	1.215209981	4.175757533
Zm00001d027819	161.0208968	796.6930775	12.40552062
Zm00001d027820	85.56970364	509.4103498	4.312145377
Zm00001d027821	56.92617225	236.416089	2.04304365
Zm00001d027832	0.828370623	3.992280621	1.531526415
Zm00001d027846	1.070006118	2.827828274	1.035177484
Zm00001d027850	0.889141275	1.363747866	2.433886101
Zm00001d027853	0.889928219	0.330343103	1.384927622
Zm00001d027863	0.379215991	0.77495245	0.174754816
Zm00001d027874	4.620463856	8.950757688	14.93790645
Zm00001d027877	0.771322082	0.782130356	2.900898183
Zm00001d027878	0.195330148	0.575861458	1.948050218
Zm00001d027883	13.92170734	16.2379133	6.580910983
Zm00001d027888	11.54962106	29.28153184	23.95478265
Zm00001d027890	5.777961595	6.364556589	1.051975756
Zm00001d027892	0.481060037	0.09556318	0.2329475
Zm00001d027894	1.500910604	1.124703018	3.074201946
Zm00001d027904	2.550983751	6.880243889	1.87940823
Zm00001d027907	10.75398768	8.773251996	4.989834295
Zm00001d027924	0.185417473	0.388787006	0.550584019
Zm00001d027929	21.6364658	36.28099881	6.989217496
Zm00001d027932	0.261418586	0.371375104	0.142547733
Zm00001d027939	54.36442615	58.57835712	26.74522501
ENSRNA049471996	0.250060115	0.567970661	0.119162138
Zm00001d027943	44.58537463	58.03907717	25.88628311
Zm00001d027983	1.772176504	3.131586006	0.298751126
Zm00001d027988	154.6831172	188.4348213	73.09534388
Zm00001d027992	12.67004023	17.85876154	6.449389182
Zm00001d027996	0.166422641	6.335958673	2.105496028
Zm00001d027999	0.642166206	1.332037007	1.716011166
Zm00001d028002	4.641842623	3.393525009	6.900239061
Zm00001d028007	1.904417426	3.980264081	2.051897009
Zm00001d028011	0.144386338	0.461882068	0.556503401
Zm00001d028012	2.457650159	2.021877855	6.548735772
Zm00001d028017	0.601177331	0.566340353	0.268871672
Zm00001d028045	155.9310159	139.2100498	53.65403616
Zm00001d028055	10.31320752	16.40735434	7.747403784
Zm00001d028064	0.788827544	1.595767045	1.040920103
Zm00001d028074	0.736373891	0.249357245	1.518747331
Zm00001d028075	6.839628928	7.564054885	32.90967593
Zm00001d028089	0.274329159	0.406564163	0.551126624
Zm00001d028094	5.973201966	21.28440583	7.108956262
Zm00001d028111	3.457610015	3.937880134	7.974087767
Zm00001d028112	28.96648316	23.37185776	13.47164106
Zm00001d028122	23.6670491	21.09464447	7.24177406
Zm00001d028139	9.567229913	18.48324589	8.277526021
Zm00001d028154	1.364861738	3.284449598	1.962373818
Zm00001d028159	0.404250192	0.771891797	0.371476045
Zm00001d028160	12.75864296	29.40752848	26.03399528
Zm00001d028161	0.525090384	0.168797423	1.775080426
Zm00001d028162	1.571551671	15.16552439	1.284589285
Zm00001d028168	0.50998933	0.107718902	0.266846142
Zm00001d028170	5.766515976	1.863679682	10.76395565
Zm00001d028171	1.437078008	1.754391254	3.487010811
Zm00001d028182	1.033527612	1.212227728	2.598670475
Zm00001d028199	2.59522934	4.506424504	10.18111312
Zm00001d028230	0.224938765	0.165384569	0.700534059
Zm00001d028231	31.91083269	47.02442294	68.02855703
Zm00001d028241	0.674115185	2.741929309	1.719664511
Zm00001d028249	4.783975748	7.155647396	10.58936019
Zm00001d028252	5.936832395	2.339560799	8.388441149
Zm00001d028260	0.235552551	0.840648096	0.42392611
Zm00001d028270	0.113246091	0.890562149	0.260560917
Zm00001d028273	3.783669928	9.351569726	1.118749421
Zm00001d028274	0.323741339	0.882245316	0.379212322
Zm00001d028280	1.453115887	2.364450516	0.9721825
Zm00001d028282	0.107928304	0.874706719	0.427643199
Zm00001d028297	0.262928428	0.54884156	0.183608175
Zm00001d028303	0.389085092	5.209133965	8.683119507
Zm00001d028304	1.399152392	3.49236186	11.60534588
Zm00001d028307	3.532424148	3.501535329	1.340243555
Zm00001d028331	0.166422641	0.245944391	0.071273867
Zm00001d028344	3.046639815	4.681051815	1.176514671
Zm00001d028355	0.908136106	0.80246373	0.362622685
Zm00001d028360	44.21461448	53.45359639	92.9850395
Zm00001d028363	28.33204309	18.58888626	9.191511535
Zm00001d028366	4.090144149	3.057647363	10.54935094
Zm00001d028367	176.5707521	118.7629661	46.91697751
Zm00001d028368	34.78879796	20.12780111	64.53518709
Zm00001d028374	48.47488344	52.60578864	19.38497631
Zm00001d028386	0.148981226	0.53298613	0.676573987
Zm00001d028391	32.46925117	68.51477164	21.59171912
Zm00001d028392	7.650319793	4.54490878	20.28616748
Zm00001d028393	0.606451543	0.60850279	0.246603159
Zm00001d028395	0.446900105	0.214872586	0.19300414
Zm00001d028398	0.421822329	1.253898784	3.092964155
Zm00001d028405	0.099547259	0.130899911	0.500910724
Zm00001d028406	44.63867272	57.01431462	18.20037613
Zm00001d028408	0.830646938	1.77252061	1.092493593
Zm00001d028410	138.7786021	132.0810609	55.26482984
Zm00001d028413	1.404340771	4.033038823	4.999377303
Zm00001d028414	1.41504039	1.383163822	3.34346918
Zm00001d028416	1.194674727	3.368779037	0.889821109
Zm00001d028423	2.595249813	5.101358209	1.335139156
Zm00001d028428	1.413488288	2.464696166	4.878557628
Zm00001d028437	2.008496841	0.77985643	0.372927098
Zm00001d028447	2.000136268	0.371940322	0.223217564
